Unit #GE000930R;1.134;0.946;0.937
Unit #TD000727C;1.090;0.570;0.565
Unit #NL000474B;1.095;0.771;0.764
Unit #BE000912S;1.127;1.069;1.059
Unit #ZE000363O;1.160;1.084;1.074
Unit #PN001190C;1.093;0.512;0.507
Unit #QA000620S;1.164;0.594;0.587
Unit #ZR000106J;1.107;0.981;0.971
Unit #TX001643O;1.103;0.970;0.961
Unit #QT001339W;1.121;0.464;0.458
Unit #PL001456G;1.120;0.656;0.649
Unit #FK000409U;1.134;0.848;0.839
Unit #DA000814B;1.151;0.558;0.553
Unit #NX000445R;1.136;0.904;0.896
Unit #XV001151O;1.129;1.092;1.082
Unit #LV000437A;1.138;0.905;0.897
Unit #HN000465H;1.149;0.980;0.969
Unit #OK001105S;1.130;0.965;0.956
Unit #FM000929M;1.108;0.710;0.702
Unit #XC000879C;1.101;1.066;1.056
Unit #FL000845S;1.146;1.110;1.100
Unit #XF001543C;1.094;0.754;0.745
Unit #TM001229F;1.141;0.654;0.648
Unit #WT000711Z;1.146;0.563;0.557
Unit #QF001503F;1.118;0.869;0.860
Unit #XJ000387Y;1.138;0.665;0.658
Unit #VD000461I;1.139;1.045;1.035
Unit #HT001241U;1.145;1.111;1.099
Unit #NR001623M;1.111;0.583;0.577
Unit #FX000057Y;1.150;0.502;0.497
Unit #TE000412M;1.110;0.910;0.900
Unit #BW000132E;1.114;0.460;0.455
Unit #MF000885J;1.163;0.699;0.691
Unit #IA001476Z;1.109;0.618;0.611
Unit #MV000182D;1.143;0.845;0.837
Unit #DP001451I;1.168;0.837;0.828
Unit #CG000576J;1.149;1.119;1.109
Unit #AB001036S;1.141;0.505;0.500
Unit #DP000332Z;1.119;0.547;0.541
Unit #ZU000451S;1.130;0.969;0.959
Unit #BL001043G;1.161;0.633;0.627
Unit #PI001593S;1.126;0.883;0.873
Unit #CD001065G;1.110;0.952;0.942
Unit #NP000118D;1.108;1.005;0.994
Unit #SM001469M;1.169;0.618;0.612
Unit #LV001122V;1.114;0.659;0.652
Unit #DN000508V;1.141;1.013;1.004
Unit #ES000188J;1.132;0.612;0.605
Unit #AA001003J;1.127;0.668;0.662
Unit #FH000374D;1.129;0.482;0.478
